ID,FIPS,State,County,Full
0,6001,CA,Alameda County,"Alameda County, CA"
1,6005,CA,Amador County,"Amador County, CA"
2,6007,CA,Butte County,"Butte County, CA"
3,6009,CA,Calaveras County,"Calaveras County, CA"
4,6011,CA,Colusa County,"Colusa County, CA"
5,6013,CA,Contra Costa County,"Contra Costa County, CA"
6,6015,CA,Del Norte County,"Del Norte County, CA"
7,6017,CA,El Dorado County,"El Dorado County, CA"
8,6019,CA,Fresno County,"Fresno County, CA"
9,6021,CA,Glenn County,"Glenn County, CA"
10,6023,CA,Humboldt County,"Humboldt County, CA"
11,6025,CA,Imperial County,"Imperial County, CA"
12,6027,CA,Inyo County,"Inyo County, CA"
13,6029,CA,Kern County,"Kern County, CA"
14,6031,CA,Kings County,"Kings County, CA"
15,6033,CA,Lake County,"Lake County, CA"
16,6035,CA,Lassen County,"Lassen County, CA"
17,6037,CA,Los Angeles County,"Los Angeles County, CA"
18,6039,CA,Madera County,"Madera County, CA"
19,6041,CA,Marin County,"Marin County, CA"
20,6043,CA,Mariposa County,"Mariposa County, CA"
21,6045,CA,Mendocino County,"Mendocino County, CA"
22,6047,CA,Merced County,"Merced County, CA"
23,6049,CA,Modoc County,"Modoc County, CA"
24,6051,CA,Mono County,"Mono County, CA"
25,6053,CA,Monterey County,"Monterey County, CA"
26,6055,CA,Napa County,"Napa County, CA"
27,6057,CA,Nevada County,"Nevada County, CA"
28,6059,CA,Orange County,"Orange County, CA"
29,6061,CA,Placer County,"Placer County, CA"
30,6063,CA,Plumas County,"Plumas County, CA"
31,6065,CA,Riverside County,"Riverside County, CA"
32,6067,CA,Sacramento County,"Sacramento County, CA"
33,6069,CA,San Benito County,"San Benito County, CA"
34,6071,CA,San Bernardino County,"San Bernardino County, CA"
35,6073,CA,San Diego County,"San Diego County, CA"
36,6075,CA,San Francisco County,"San Francisco County, CA"
37,6077,CA,San Joaquin County,"San Joaquin County, CA"
38,6079,CA,San Luis Obispo County,"San Luis Obispo County, CA"
39,6081,CA,San Mateo County,"San Mateo County, CA"
40,6083,CA,Santa Barbara County,"Santa Barbara County, CA"
41,6085,CA,Santa Clara County,"Santa Clara County, CA"
42,6087,CA,Santa Cruz County,"Santa Cruz County, CA"
43,6089,CA,Shasta County,"Shasta County, CA"
44,6093,CA,Siskiyou County,"Siskiyou County, CA"
45,6095,CA,Solano County,"Solano County, CA"
46,6097,CA,Sonoma County,"Sonoma County, CA"
47,6099,CA,Stanislaus County,"Stanislaus County, CA"
48,6103,CA,Tehama County,"Tehama County, CA"
49,6105,CA,Trinity County,"Trinity County, CA"
50,6107,CA,Tulare County,"Tulare County, CA"
51,6109,CA,Tuolumne County,"Tuolumne County, CA"
52,6111,CA,Ventura County,"Ventura County, CA"
53,6113,CA,Yolo County,"Yolo County, CA"
54,6115,CA,Yuba County,"Yuba County, CA"
