RH_Satellite,6001,6005,6007,6009,6011,6013,6015,6017,6019,6021,6023,6025,6027,6029,6031,6033,6035,6037,6039,6041,6043,6045,6047,6049,6051,6053,6055,6057,6059,6061,6063,6065,6067,6069,6071,6073,6075,6077,6079,6081,6083,6085,6087,6089,6093,6095,6097,6099,6103,6105,6107,6109,6111,6113,6115
ID,186,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,232,233,234,235,237,238,239,240,241,242,243
FIPS,6001,6005,6007,6009,6011,6013,6015,6017,6019,6021,6023,6025,6027,6029,6031,6033,6035,6037,6039,6041,6043,6045,6047,6049,6051,6053,6055,6057,6059,6061,6063,6065,6067,6069,6071,6073,6075,6077,6079,6081,6083,6085,6087,6089,6093,6095,6097,6099,6103,6105,6107,6109,6111,6113,6115
State,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA
County,Alameda County,Amador County,Butte County,Calaveras County,Colusa County,Contra Costa County,Del Norte County,El Dorado County,Fresno County,Glenn County,Humboldt County,Imperial County,Inyo County,Kern County,Kings County,Lake County,Lassen County,Los Angeles County,Madera County,Marin County,Mariposa County,Mendocino County,Merced County,Modoc County,Mono County,Monterey County,Napa County,Nevada County,Orange County,Placer County,Plumas County,Riverside County,Sacramento County,San Benito County,San Bernardino County,San Diego County,San Francisco County,San Joaquin County,San Luis Obispo County,San Mateo County,Santa Barbara County,Santa Clara County,Santa Cruz County,Shasta County,Siskiyou County,Solano County,Sonoma County,Stanislaus County,Tehama County,Trinity County,Tulare County,Tuolumne County,Ventura County,Yolo County,Yuba County
Full,"Alameda County, CA","Amador County, CA","Butte County, CA","Calaveras County, CA","Colusa County, CA","Contra Costa County, CA","Del Norte County, CA","El Dorado County, CA","Fresno County, CA","Glenn County, CA","Humboldt County, CA","Imperial County, CA","Inyo County, CA","Kern County, CA","Kings County, CA","Lake County, CA","Lassen County, CA","Los Angeles County, CA","Madera County, CA","Marin County, CA","Mariposa County, CA","Mendocino County, CA","Merced County, CA","Modoc County, CA","Mono County, CA","Monterey County, CA","Napa County, CA","Nevada County, CA","Orange County, CA","Placer County, CA","Plumas County, CA","Riverside County, CA","Sacramento County, CA","San Benito County, CA","San Bernardino County, CA","San Diego County, CA","San Francisco County, CA","San Joaquin County, CA","San Luis Obispo County, CA","San Mateo County, CA","Santa Barbara County, CA","Santa Clara County, CA","Santa Cruz County, CA","Shasta County, CA","Siskiyou County, CA","Solano County, CA","Sonoma County, CA","Stanislaus County, CA","Tehama County, CA","Trinity County, CA","Tulare County, CA","Tuolumne County, CA","Ventura County, CA","Yolo County, CA","Yuba County, CA"
01/01/2020,68.61477199455737,64.97191131876716,70.89214744137189,64.64517044228249,67.1784886654784,69.51015224420487,74.64615975273294,65.52090571401615,61.487309548328874,67.46422863183238,68.76004333372332,51.196153360869666,50.50661767154386,54.94635459043064,62.57631510475605,72.53131585446143,70.54013619869428,53.73362216710954,63.563835073901316,73.32577832943724,64.26993982838046,72.79253327015547,63.92899404187924,72.24981599303842,61.29595009065942,64.67239351150963,69.7260902179991,67.92411154135891,69.9560011914105,67.41253418867312,68.22464494505455,50.55791095898325,66.9027076596343,62.08684359459711,47.64268035748891,53.45286979464829,72.9035416666683,65.36332921101913,61.301038379656056,73.5212804260753,63.01081003278697,67.64297852810944,60.18301858298678,67.69865816415846,71.75677541601344,69.53029377879852,72.13541225750848,64.7576515313146,66.99398222712243,69.25243487349682,58.99767561790858,64.18541605548054,58.347116651139565,67.64415371636267,69.73147586038881
01/02/2020,66.75640948474641,63.956214859633626,69.35071185245454,62.64797652482746,68.54115693386449,68.94731598686066,71.70546766224062,63.74968158983046,62.68335378337913,68.49096876950868,67.20407487509374,47.87321072993004,50.90039201628256,55.97778185476717,64.65035205903953,72.33340451870536,66.6460569007022,55.27283229506647,62.967216412037956,70.55211256587829,62.50860761229196,71.24133598677939,61.88027011699023,69.78816181420399,60.09239824256093,66.49130672209336,67.2579308587822,65.5794173715922,69.65449662974049,64.58170588483398,64.50532113772103,49.26155158041297,67.4043968457748,64.0751827574608,46.52587582463523,52.85103075631295,71.54513888888819,63.301724883825834,63.32225367960384,72.19861069489559,64.25625142554011,65.20985062457346,52.08973457496674,67.21722327179641,68.68476945697523,69.29895647817028,69.99224345915204,61.45208328263996,67.12396795719268,67.9814282408007,60.044036885990494,62.73870102179182,58.46629202007013,68.57038171588474,66.25946678495214
01/03/2020,69.58692253137438,66.32363189587515,69.56565534594537,66.02483723059619,66.93744588548377,70.31186681361446,73.34431694956008,66.21654368347524,61.38102148208211,67.28764972931093,68.49206256469165,48.65116351467485,48.083715566500224,53.49964130061824,61.52791628495152,72.44228840498475,69.09097397104343,54.71047404677121,63.9131250089511,72.86103496611202,65.03767628884592,73.97087693422624,64.9632668714613,68.91585288715763,60.60842362587006,66.8516811613333,68.82152469645958,66.6424671289865,70.34407621926238,66.71164093535923,67.84429542700926,49.0203070841762,67.30412514940971,64.66559091024638,46.42145438169538,53.48493366594052,73.70971590909195,66.29768193778101,61.756395279661426,74.86522088268612,63.91328844712682,68.63130320445092,56.885552662896686,68.73285870872377,70.04789124635923,69.68774422243213,72.33876615981102,65.61365663673536,68.09121863544152,68.6619258776205,56.06789257857322,65.45019448702948,58.05762431134716,67.62605572491064,66.87868430110527
01/04/2020,68.8085166475082,64.8900912790619,69.7046266044677,63.98872006520146,68.82329910285672,70.64118360556586,71.7203485641838,64.98840670072597,61.300959722176586,68.203410099092,69.4571231328969,48.3854375394513,52.695648097281314,58.407374729526616,63.35342742840181,73.24457976190737,67.23968928192343,58.55627377193843,61.89395019535384,74.48227120675253,61.978494159734694,72.77352374354548,64.15972723400657,69.87968612014652,59.743166055299994,66.35763935240985,70.43906113769825,67.18213280344791,70.55321740398968,65.97908700692129,66.04630951802524,50.79663772178934,68.37842668065538,63.51339921545067,49.963343900614746,55.30091459724206,73.84069444444509,65.12028113482388,64.9203089310562,74.05138245976492,66.58297804582705,66.83056201959441,55.39259186369357,67.14994961222212,69.01830056027406,71.17188353606456,72.90309701209718,64.18683091021107,66.91590743365045,68.99593130727712,59.24757754348516,62.521639642483024,61.60114708436655,69.67376082579813,67.20625528882125
