TEMP_Satellite,6001,6005,6007,6009,6011,6013,6015,6017,6019,6021,6023,6025,6027,6029,6031,6033,6035,6037,6039,6041,6043,6045,6047,6049,6051,6053,6055,6057,6059,6061,6063,6065,6067,6069,6071,6073,6075,6077,6079,6081,6083,6085,6087,6089,6093,6095,6097,6099,6103,6105,6107,6109,6111,6113,6115
ID,186,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,232,233,234,235,237,238,239,240,241,242,243
FIPS,6001,6005,6007,6009,6011,6013,6015,6017,6019,6021,6023,6025,6027,6029,6031,6033,6035,6037,6039,6041,6043,6045,6047,6049,6051,6053,6055,6057,6059,6061,6063,6065,6067,6069,6071,6073,6075,6077,6079,6081,6083,6085,6087,6089,6093,6095,6097,6099,6103,6105,6107,6109,6111,6113,6115
State,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA
County,Alameda County,Amador County,Butte County,Calaveras County,Colusa County,Contra Costa County,Del Norte County,El Dorado County,Fresno County,Glenn County,Humboldt County,Imperial County,Inyo County,Kern County,Kings County,Lake County,Lassen County,Los Angeles County,Madera County,Marin County,Mariposa County,Mendocino County,Merced County,Modoc County,Mono County,Monterey County,Napa County,Nevada County,Orange County,Placer County,Plumas County,Riverside County,Sacramento County,San Benito County,San Bernardino County,San Diego County,San Francisco County,San Joaquin County,San Luis Obispo County,San Mateo County,Santa Barbara County,Santa Clara County,Santa Cruz County,Shasta County,Siskiyou County,Solano County,Sonoma County,Stanislaus County,Tehama County,Trinity County,Tulare County,Tuolumne County,Ventura County,Yolo County,Yuba County
Full,"Alameda County, CA","Amador County, CA","Butte County, CA","Calaveras County, CA","Colusa County, CA","Contra Costa County, CA","Del Norte County, CA","El Dorado County, CA","Fresno County, CA","Glenn County, CA","Humboldt County, CA","Imperial County, CA","Inyo County, CA","Kern County, CA","Kings County, CA","Lake County, CA","Lassen County, CA","Los Angeles County, CA","Madera County, CA","Marin County, CA","Mariposa County, CA","Mendocino County, CA","Merced County, CA","Modoc County, CA","Mono County, CA","Monterey County, CA","Napa County, CA","Nevada County, CA","Orange County, CA","Placer County, CA","Plumas County, CA","Riverside County, CA","Sacramento County, CA","San Benito County, CA","San Bernardino County, CA","San Diego County, CA","San Francisco County, CA","San Joaquin County, CA","San Luis Obispo County, CA","San Mateo County, CA","Santa Barbara County, CA","Santa Clara County, CA","Santa Cruz County, CA","Shasta County, CA","Siskiyou County, CA","Solano County, CA","Sonoma County, CA","Stanislaus County, CA","Tehama County, CA","Trinity County, CA","Tulare County, CA","Tuolumne County, CA","Ventura County, CA","Yolo County, CA","Yuba County, CA"
01/01/2020,282.3245123677184,277.242443570503,269.31694400249376,277.40255742077784,279.3855271148767,282.18941203449646,277.92879890837133,276.3629063230206,278.1390463997986,278.42532185951154,273.261913771957,282.42142552699045,276.8376039966395,280.177990603482,280.810877813417,272.4175366852144,272.63593475735263,282.386901657955,277.6069894552677,282.85615407826646,276.41988045112674,279.8930855103296,280.5592890667995,271.8370585857463,272.791137435725,283.3041269548267,280.97482111537204,278.0461983323872,282.0225235374455,276.7948180455455,273.9815788212633,281.9328447138057,279.9968617791964,281.92044077342183,279.5863545615438,283.9332870059257,283.37738636363684,280.017996439386,283.3813961025658,284.0478866421054,284.9719984896612,282.49892909856345,280.6673572192351,275.0412454984269,274.03749757965585,281.5791994080806,281.8769315107786,280.6670562463492,276.89620836718075,277.8505471633921,277.797305887738,275.7034061886503,283.38847906777465,280.39082586244774,278.03393163952524
01/02/2020,281.91012419909555,277.3323594648242,270.7837392390224,277.61092346344515,278.87372782466383,281.8534732929502,277.975758955029,276.5848441188866,277.95455341486957,278.0411097764204,273.2598511628976,283.75428470870423,277.67182193512275,280.5163172329564,280.7435703529607,272.3445024725299,272.80057929482103,282.67531217007263,277.51360317072874,282.86309554464196,276.3991873412062,280.29272030040323,281.12256470355453,271.79598950288664,273.3227425676951,282.9951501240562,280.749987747812,278.02191063484935,281.0669026170781,276.9107129029893,274.2408648923663,283.0664258357056,279.6556058970701,281.59874042667315,281.30488781713785,284.34439143925135,283.25809027777836,279.660335012155,282.97188943638986,283.9086411874917,284.4001740247797,282.0990826026283,282.1893494308259,274.99962196998615,274.1274041084775,281.2873747400349,281.7793588415974,280.7762196611366,276.84228384320124,278.1092317024179,278.0242550805914,275.8732670594486,283.0656724271123,279.96628586629544,277.86964225030266
01/03/2020,282.2171229131753,277.41436759901876,270.9527749147771,277.52683353703304,280.43820038148976,282.2211971256534,278.3404505345857,276.68876889150476,277.9642776322605,279.8340037600439,274.1636524535535,283.7389156884093,277.8279868018445,280.63625743044054,280.62256515326925,273.3499590988126,273.31789103486767,282.9447110660027,277.3842621413397,282.8937421067561,276.3310215776488,281.11876979893816,280.9318449497414,272.7928125170167,273.25878356123985,283.2198096244787,281.0954317869609,278.3900217614654,281.01658921554133,277.36428928039646,274.62961306011556,282.8170956380597,280.37030949901754,281.93962204692986,280.83673504586284,283.8746470680999,283.16470643939414,280.05658877477185,283.6589552511091,283.8764545875986,285.1280446485858,282.4282179990999,281.85588342859774,275.77842508670875,274.74275237684515,281.73235039692554,282.0317067804232,280.83502318809036,277.8709337961399,278.5608885416813,277.6583733951095,275.79905267044376,283.94634152714707,280.94443983714007,279.0040155050479
01/04/2020,282.51442350509933,277.92597007653575,270.84484523769,278.0894348016406,279.90061208146096,282.36065104157296,278.70950653394743,277.1463018431242,278.4075140227442,279.0532594315564,273.51499745945716,284.13570014425613,277.13788812753245,280.34772002188646,281.1542395883039,272.66640602372803,273.00560336784844,281.9929232836032,277.72552324945684,283.1596652219274,276.52186937396016,280.6752640623497,280.9531087111579,272.3871694930259,272.8968140220917,283.4745601184925,281.3972852628087,278.573417294222,280.8736510775727,277.5052647756331,274.5550986236302,282.8051726807521,280.29861899571137,282.0935694642447,280.53082354730725,283.8614476894657,283.55935132575814,280.42047410111513,283.5668883494922,284.2385491579583,284.822004538354,282.76949681927607,282.6924285391771,275.36361291736995,274.9962739740402,281.79775036595817,282.314416453362,281.05680036323264,277.17520487719923,278.7725856539203,278.2870665543565,276.0665692463258,283.0233210006819,280.69081095965595,278.64919490781637
