ID,FIPS,State,County,Full
0,42001,PA,Adams County,"Adams County, PA"
1,42003,PA,Allegheny County,"Allegheny County, PA"
2,42005,PA,Armstrong County,"Armstrong County, PA"
3,42007,PA,Beaver County,"Beaver County, PA"
4,42009,PA,Bedford County,"Bedford County, PA"
5,42011,PA,Berks County,"Berks County, PA"
6,42013,PA,Blair County,"Blair County, PA"
7,42015,PA,Bradford County,"Bradford County, PA"
8,42017,PA,Bucks County,"Bucks County, PA"
9,42019,PA,Butler County,"Butler County, PA"
10,42021,PA,Cambria County,"Cambria County, PA"
11,42025,PA,Carbon County,"Carbon County, PA"
12,42027,PA,Centre County,"Centre County, PA"
13,42029,PA,Chester County,"Chester County, PA"
14,42031,PA,Clarion County,"Clarion County, PA"
15,42033,PA,Clearfield County,"Clearfield County, PA"
16,42035,PA,Clinton County,"Clinton County, PA"
17,42037,PA,Columbia County,"Columbia County, PA"
18,42039,PA,Crawford County,"Crawford County, PA"
19,42041,PA,Cumberland County,"Cumberland County, PA"
20,42043,PA,Dauphin County,"Dauphin County, PA"
21,42045,PA,Delaware County,"Delaware County, PA"
22,42047,PA,Elk County,"Elk County, PA"
23,42049,PA,Erie County,"Erie County, PA"
24,42051,PA,Fayette County,"Fayette County, PA"
25,42055,PA,Franklin County,"Franklin County, PA"
26,42057,PA,Fulton County,"Fulton County, PA"
27,42059,PA,Greene County,"Greene County, PA"
28,42061,PA,Huntingdon County,"Huntingdon County, PA"
29,42063,PA,Indiana County,"Indiana County, PA"
30,42065,PA,Jefferson County,"Jefferson County, PA"
31,42069,PA,Lackawanna County,"Lackawanna County, PA"
32,42071,PA,Lancaster County,"Lancaster County, PA"
33,42073,PA,Lawrence County,"Lawrence County, PA"
34,42075,PA,Lebanon County,"Lebanon County, PA"
35,42077,PA,Lehigh County,"Lehigh County, PA"
36,42079,PA,Luzerne County,"Luzerne County, PA"
37,42081,PA,Lycoming County,"Lycoming County, PA"
38,42083,PA,McKean County,"McKean County, PA"
39,42085,PA,Mercer County,"Mercer County, PA"
40,42087,PA,Mifflin County,"Mifflin County, PA"
41,42089,PA,Monroe County,"Monroe County, PA"
42,42091,PA,Montgomery County,"Montgomery County, PA"
43,42093,PA,Montour County,"Montour County, PA"
44,42095,PA,Northampton County,"Northampton County, PA"
45,42097,PA,Northumberland County,"Northumberland County, PA"
46,42101,PA,Philadelphia County,"Philadelphia County, PA"
47,42105,PA,Potter County,"Potter County, PA"
48,42107,PA,Schuylkill County,"Schuylkill County, PA"
49,42111,PA,Somerset County,"Somerset County, PA"
50,42115,PA,Susquehanna County,"Susquehanna County, PA"
51,42117,PA,Tioga County,"Tioga County, PA"
52,42119,PA,Union County,"Union County, PA"
53,42121,PA,Venango County,"Venango County, PA"
54,42123,PA,Warren County,"Warren County, PA"
55,42125,PA,Washington County,"Washington County, PA"
56,42127,PA,Wayne County,"Wayne County, PA"
57,42129,PA,Westmoreland County,"Westmoreland County, PA"
58,42131,PA,Wyoming County,"Wyoming County, PA"
59,42133,PA,York County,"York County, PA"
