RH_Satellite,42001,42003,42005,42007,42009,42011,42013,42015,42017,42019,42021,42025,42027,42029,42031,42033,42035,42037,42039,42041,42043,42045,42047,42049,42051,42055,42057,42059,42061,42063,42065,42069,42071,42073,42075,42077,42079,42081,42083,42085,42087,42089,42091,42093,42095,42097,42101,42105,42107,42111,42115,42117,42119,42121,42123,42125,42127,42129,42131,42133
ID,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2271,2272,2273,2274,2275,2276,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2294,2296,2297,2299,2301,2302,2303,2304,2305,2306,2307,2308,2309,2310
FIPS,42001,42003,42005,42007,42009,42011,42013,42015,42017,42019,42021,42025,42027,42029,42031,42033,42035,42037,42039,42041,42043,42045,42047,42049,42051,42055,42057,42059,42061,42063,42065,42069,42071,42073,42075,42077,42079,42081,42083,42085,42087,42089,42091,42093,42095,42097,42101,42105,42107,42111,42115,42117,42119,42121,42123,42125,42127,42129,42131,42133
State,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA
County,Adams County,Allegheny County,Armstrong County,Beaver County,Bedford County,Berks County,Blair County,Bradford County,Bucks County,Butler County,Cambria County,Carbon County,Centre County,Chester County,Clarion County,Clearfield County,Clinton County,Columbia County,Crawford County,Cumberland County,Dauphin County,Delaware County,Elk County,Erie County,Fayette County,Franklin County,Fulton County,Greene County,Huntingdon County,Indiana County,Jefferson County,Lackawanna County,Lancaster County,Lawrence County,Lebanon County,Lehigh County,Luzerne County,Lycoming County,McKean County,Mercer County,Mifflin County,Monroe County,Montgomery County,Montour County,Northampton County,Northumberland County,Philadelphia County,Potter County,Schuylkill County,Somerset County,Susquehanna County,Tioga County,Union County,Venango County,Warren County,Washington County,Wayne County,Westmoreland County,Wyoming County,York County
Full,"Adams County, PA","Allegheny County, PA","Armstrong County, PA","Beaver County, PA","Bedford County, PA","Berks County, PA","Blair County, PA","Bradford County, PA","Bucks County, PA","Butler County, PA","Cambria County, PA","Carbon County, PA","Centre County, PA","Chester County, PA","Clarion County, PA","Clearfield County, PA","Clinton County, PA","Columbia County, PA","Crawford County, PA","Cumberland County, PA","Dauphin County, PA","Delaware County, PA","Elk County, PA","Erie County, PA","Fayette County, PA","Franklin County, PA","Fulton County, PA","Greene County, PA","Huntingdon County, PA","Indiana County, PA","Jefferson County, PA","Lackawanna County, PA","Lancaster County, PA","Lawrence County, PA","Lebanon County, PA","Lehigh County, PA","Luzerne County, PA","Lycoming County, PA","McKean County, PA","Mercer County, PA","Mifflin County, PA","Monroe County, PA","Montgomery County, PA","Montour County, PA","Northampton County, PA","Northumberland County, PA","Philadelphia County, PA","Potter County, PA","Schuylkill County, PA","Somerset County, PA","Susquehanna County, PA","Tioga County, PA","Union County, PA","Venango County, PA","Warren County, PA","Washington County, PA","Wayne County, PA","Westmoreland County, PA","Wyoming County, PA","York County, PA"
01/01/2020,72.38096402021209,72.63880442546491,64.73329910281402,64.67907502675247,67.37725098017535,74.31419243283744,71.16219913939123,76.83840157325473,73.82743441140798,70.87936214157038,70.73635662729151,74.17417307707325,75.45641277599654,69.68850744647958,75.505011150613,73.39804111465145,75.63943823614325,75.1281648705992,73.53517004874779,71.25516931886652,74.44527072434003,72.46011444100222,72.2319341572344,75.51852268363513,69.93138225230558,73.92671366533332,72.5691122095406,71.60284774203488,72.6834447381766,72.11167198251445,72.92953955607534,74.645233830775,71.18405717471079,69.16175391274795,74.2711363636377,74.63611111110961,75.85926691508288,77.2377868200753,75.37847222222207,73.73736692333225,74.8760783541317,70.7958357722036,69.62601760033515,76.12325396825678,72.58014851464168,74.20178152406734,73.06666666664887,71.48880343974085,75.03799746426384,77.59557193001768,75.80327380953477,77.12710708933571,68.51780977789069,76.95128412151388,71.14738836879292,71.33960051870498,69.55266094366095,72.10418164088635,73.01814179839884,73.9661702861967
01/02/2020,72.16802815356512,69.61358112865467,60.80226756898762,62.326944151547615,70.86932974837563,75.5342716216913,73.55269712471524,76.83521800475344,74.45641864809525,70.17427622895259,72.51467563929018,70.13997732024856,74.70319279033728,69.4937748932107,72.70244715260746,72.5764136193732,74.8649852448482,73.32458442509234,71.97905193444643,72.14860486826784,77.49295510197322,73.98667057383966,70.57604487851209,76.14539488484516,68.98602916940625,73.3324038115042,71.13803706055896,69.18318021642452,75.17987463027562,71.65547121543146,71.71197857157675,73.7924070478697,72.36544203935254,69.09535172935081,77.44986359127257,74.88642857142538,75.88010739688319,76.44364988267736,73.06111111111129,73.56987588380022,75.65244279654048,70.50398765255242,69.2689102001162,77.52817460317063,74.27585994166733,75.01272779849916,73.3395833333331,68.6589768488716,76.88214120517038,77.49355919925672,75.00178571430065,77.00738766316691,66.60530563902992,73.13560261873876,71.67031111832367,69.05740048621868,67.70838522663624,70.82928015320634,73.67948277198552,72.81142773734217
01/03/2020,70.69618679018423,70.19453641362877,59.41257345189179,61.72440567274263,68.11223908286466,71.5839640595883,68.77112509994546,74.61704904879996,70.3795317650891,70.7919952946049,68.23552174297357,72.22888974793406,72.39253424742182,68.28716482923119,73.55742712407938,71.07246081726437,74.23517005916551,73.77369227036394,72.0617193790737,72.37655379925955,73.34274875521878,73.50694085489758,70.42107160244313,75.83939933395264,69.93415525550408,72.94439522542748,72.52417783209589,71.3070983628137,70.59926839784133,69.74190011414767,71.40865429619726,76.43598244326735,71.57455055908144,68.96596412439287,73.31229166666965,71.01428571429595,73.52943119879696,73.26532164419801,73.82666666667085,73.07190831017206,72.04959903777748,71.7996039607191,69.6381202350373,73.97083333333048,71.30055713865971,72.99137730539448,70.25590277778733,67.79893153632747,73.02705886813888,76.03919035894594,76.92374999998997,74.1474388797476,65.3004451744331,74.75022503836549,72.08915162416905,69.3439351981782,69.6365439424161,69.99184072440447,73.1835420869168,72.29518664505258
01/04/2020,71.37618271625298,73.38484626354654,63.20792924475073,62.60951433109066,71.42542812367455,74.34834829431479,78.9243569402345,73.27515858995456,73.71915545846025,69.0187361299264,78.5253418396601,70.08671712293078,77.24674263109145,68.75554133068484,76.75433888951355,78.52036117027995,76.73229132522565,73.20419392229458,72.33700859758916,72.22361053627145,75.16769152895279,74.46821122946282,71.9503198575812,79.22715179957864,70.37420752186098,73.18465484192384,74.41717999670779,69.77236751811951,77.75296543538487,76.85723149993235,72.04408627361668,73.87918133170926,70.8484660586737,68.81508616009721,74.76581439394431,74.03810763888741,73.607045947731,74.71957908171957,77.8419052706599,74.80360236145502,77.3444028779627,71.13917300257093,70.0915617020593,74.22118055556322,73.94804466389326,74.79177828410154,74.05530303031203,69.62264035758653,74.35690631345497,78.35249882072607,75.27003968253723,75.2856514927827,66.43834003166349,77.15077215909149,72.47660637884937,69.47786764353945,67.77349968659588,74.19862060485903,74.46748727171867,72.24619750032987
