TEMP_Satellite,42001,42003,42005,42007,42009,42011,42013,42015,42017,42019,42021,42025,42027,42029,42031,42033,42035,42037,42039,42041,42043,42045,42047,42049,42051,42055,42057,42059,42061,42063,42065,42069,42071,42073,42075,42077,42079,42081,42083,42085,42087,42089,42091,42093,42095,42097,42101,42105,42107,42111,42115,42117,42119,42121,42123,42125,42127,42129,42131,42133
ID,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2271,2272,2273,2274,2275,2276,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2294,2296,2297,2299,2301,2302,2303,2304,2305,2306,2307,2308,2309,2310
FIPS,42001,42003,42005,42007,42009,42011,42013,42015,42017,42019,42021,42025,42027,42029,42031,42033,42035,42037,42039,42041,42043,42045,42047,42049,42051,42055,42057,42059,42061,42063,42065,42069,42071,42073,42075,42077,42079,42081,42083,42085,42087,42089,42091,42093,42095,42097,42101,42105,42107,42111,42115,42117,42119,42121,42123,42125,42127,42129,42131,42133
State,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA
County,Adams County,Allegheny County,Armstrong County,Beaver County,Bedford County,Berks County,Blair County,Bradford County,Bucks County,Butler County,Cambria County,Carbon County,Centre County,Chester County,Clarion County,Clearfield County,Clinton County,Columbia County,Crawford County,Cumberland County,Dauphin County,Delaware County,Elk County,Erie County,Fayette County,Franklin County,Fulton County,Greene County,Huntingdon County,Indiana County,Jefferson County,Lackawanna County,Lancaster County,Lawrence County,Lebanon County,Lehigh County,Luzerne County,Lycoming County,McKean County,Mercer County,Mifflin County,Monroe County,Montgomery County,Montour County,Northampton County,Northumberland County,Philadelphia County,Potter County,Schuylkill County,Somerset County,Susquehanna County,Tioga County,Union County,Venango County,Warren County,Washington County,Wayne County,Westmoreland County,Wyoming County,York County
Full,"Adams County, PA","Allegheny County, PA","Armstrong County, PA","Beaver County, PA","Bedford County, PA","Berks County, PA","Blair County, PA","Bradford County, PA","Bucks County, PA","Butler County, PA","Cambria County, PA","Carbon County, PA","Centre County, PA","Chester County, PA","Clarion County, PA","Clearfield County, PA","Clinton County, PA","Columbia County, PA","Crawford County, PA","Cumberland County, PA","Dauphin County, PA","Delaware County, PA","Elk County, PA","Erie County, PA","Fayette County, PA","Franklin County, PA","Fulton County, PA","Greene County, PA","Huntingdon County, PA","Indiana County, PA","Jefferson County, PA","Lackawanna County, PA","Lancaster County, PA","Lawrence County, PA","Lebanon County, PA","Lehigh County, PA","Luzerne County, PA","Lycoming County, PA","McKean County, PA","Mercer County, PA","Mifflin County, PA","Monroe County, PA","Montgomery County, PA","Montour County, PA","Northampton County, PA","Northumberland County, PA","Philadelphia County, PA","Potter County, PA","Schuylkill County, PA","Somerset County, PA","Susquehanna County, PA","Tioga County, PA","Union County, PA","Venango County, PA","Warren County, PA","Washington County, PA","Wayne County, PA","Westmoreland County, PA","Wyoming County, PA","York County, PA"
01/01/2020,271.20431907882966,274.1617780955007,275.6895227342527,272.32443787157365,277.6599099883669,275.32531987401006,273.7631875323797,274.70941137126584,275.87039137927036,276.1530160218171,273.5900157483785,266.0808317004559,273.2415032249117,280.36448196551254,271.9263124949557,272.4767819221639,272.4769181421882,276.94457507519854,274.27229844984635,278.2137898497166,275.79286960000815,273.8756324312171,273.7327419160278,272.29976993025616,278.72349403864337,275.54383545540406,275.0571640237003,278.61233192662786,274.45063217705126,273.38072516011727,275.81129205932706,273.5480739424728,277.2011541716054,277.19567391368787,275.98473011363626,274.6683522727289,273.9537407109117,272.83029694224854,270.8595833333323,271.78955959935126,274.16762874365793,278.14032471101217,279.69982199379945,274.4734059343398,280.08833524619536,276.72317313883474,276.56701388888393,271.21748905292657,275.1521771054253,271.33320179836716,272.63686079545414,271.57871982124567,275.97425065556314,271.5462163810017,276.2867198296897,275.5898018163638,275.9838263730711,274.8827658017867,273.48592603567715,275.40681205648707
01/02/2020,271.84559931930687,273.44583342018115,275.9543908047381,273.96515396936906,275.4446281294473,273.65419676490933,273.3312732586956,273.37079755829717,275.00974315196606,275.32313766663486,273.073934584613,268.1972356288953,273.0199590475121,277.60240647810565,272.8100541635884,272.44667972022256,271.7205295440028,275.94547195079485,273.6078008251445,276.47527189478166,274.512330112553,273.76903460182825,275.1765809229677,271.79535891422677,277.29367439315763,274.72217285490194,274.20007691204086,276.8694618854549,273.9876536685765,272.8714579940471,275.5573052777539,272.03090895608676,275.23967135265053,275.8930381355934,274.40012152777985,273.03555397727,272.43070619349913,272.19499912005256,271.4055610795492,271.7183379966075,273.82052812551075,276.0937730719247,278.3339215844794,273.13875000000024,278.06787739363256,274.9204049994188,275.6385416666573,271.725332315791,273.55007181873464,269.5020134178277,271.38343750000035,271.18119760927027,275.5027336271538,272.844331790832,274.78439268368453,275.07794244009995,275.01190868990915,273.42358544602257,272.0560929618043,274.8962698289619
01/03/2020,272.2141595279944,272.7892952846274,276.2646176855941,274.21976445524064,276.564105479336,273.21860986970677,272.32962849149374,271.8233057515877,274.07364170989507,276.15668475594964,272.1391854967302,267.96541144615725,271.34148244116045,278.9407505756374,270.57248433811026,270.9287122985129,271.83238681869284,275.9891406479003,274.59559301877204,276.9841279331821,273.8033917537697,273.01183347218296,273.7486734881088,271.7016153045945,277.8171378131413,274.9478924911154,274.9225269796492,277.72482387657334,272.97548868872866,271.770085183593,275.7196348391388,270.39115153343056,275.7998346836631,277.3081012371925,273.8918236451048,272.6300000000009,271.10392840227456,270.1318859362432,269.82927827381195,272.4970578657375,272.3162417084214,277.38001905275974,278.7151670615157,271.6777935606031,277.48377631582787,274.4426244385698,274.4689236111029,272.4430789800766,272.8332573531294,270.14706570384357,269.7698908730149,269.08396141773636,276.0172742040988,270.5985679905278,275.28803819740506,275.6237458132696,275.7060447670182,273.0598707982915,271.4922963195219,274.7555711639755
01/04/2020,271.91477443966994,274.0847064965566,276.74203084373784,274.0720326441337,276.7265360002453,275.4804342087879,273.58093911689446,274.82889639427106,276.02445028438825,275.53344249637775,273.47281982585343,268.0772474742432,273.3980380360596,278.75418437052247,272.55559172302577,272.9584540275628,272.7788397172206,275.87291146567327,274.22699638809337,277.0750861114725,275.59655641472494,274.01277270559444,274.63216419375414,273.7694658547434,277.61140681016656,275.0888834064869,274.62004968435866,277.18364886008413,274.01747982970477,273.44720626893366,275.5464921251998,273.85720587620466,275.7956442297712,276.7616862613514,275.9958023747066,275.06531249999995,274.33380944842946,273.70443695381294,272.4273164682515,272.561942094714,273.6944073179685,276.7843724113928,278.6597844426829,274.63815104165997,280.07259044435733,276.7697186609606,277.1364583333213,272.26118169715096,275.34156341211195,270.89029082814955,272.83743055555567,273.30525875917465,275.8823907582174,272.4286603556953,275.2645715854168,275.5937195288946,275.61832179786376,274.59660174866497,273.94891921496975,275.12247808022033
