ID,FIPS,State,County,Full,RISK_Covid19,CASES_Covid19,DEATH_Covid19,AOD_Satellite,TEMP_Satellite,RH_Satellite,HOSPI_Covid19,ICU_Covid19,ALL
0,1001,AL,Autauga County,"Autauga County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1003,AL,Baldwin County,"Baldwin County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1005,AL,Barbour County,"Barbour County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1007,AL,Bibb County,"Bibb County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1009,AL,Blount County,"Blount County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1011,AL,Bullock County,"Bullock County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1013,AL,Butler County,"Butler County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1015,AL,Calhoun County,"Calhoun County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1017,AL,Chambers County,"Chambers County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1019,AL,Cherokee County,"Cherokee County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1021,AL,Chilton County,"Chilton County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1023,AL,Choctaw County,"Choctaw County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1025,AL,Clarke County,"Clarke County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1027,AL,Clay County,"Clay County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1029,AL,Cleburne County,"Cleburne County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1031,AL,Coffee County,"Coffee County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1033,AL,Colbert County,"Colbert County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1035,AL,Conecuh County,"Conecuh County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1037,AL,Coosa County,"Coosa County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1039,AL,Covington County,"Covington County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1041,AL,Crenshaw County,"Crenshaw County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1043,AL,Cullman County,"Cullman County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1045,AL,Dale County,"Dale County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1047,AL,Dallas County,"Dallas County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1049,AL,DeKalb County,"DeKalb County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1051,AL,Elmore County,"Elmore County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1053,AL,Escambia County,"Escambia County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1055,AL,Etowah County,"Etowah County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1057,AL,Fayette County,"Fayette County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1059,AL,Franklin County,"Franklin County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1061,AL,Geneva County,"Geneva County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1063,AL,Greene County,"Greene County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1065,AL,Hale County,"Hale County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1067,AL,Henry County,"Henry County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1069,AL,Houston County,"Houston County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1071,AL,Jackson County,"Jackson County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1073,AL,Jefferson County,"Jefferson County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1075,AL,Lamar County,"Lamar County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1077,AL,Lauderdale County,"Lauderdale County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1079,AL,Lawrence County,"Lawrence County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1081,AL,Lee County,"Lee County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1083,AL,Limestone County,"Limestone County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1085,AL,Lowndes County,"Lowndes County, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
