From,To,From_FIPS,To_FIPS
0,84,48001,48169
0,92,48001,48185
0,101,48001,48203
0,113,48001,48227
0,118,48001,48237
0,127,48001,48255
0,146,48001,48297
0,153,48001,48313
0,182,48001,48371
0,191,48001,48389
0,204,48001,48415
0,232,48001,48471
0,233,48001,48473
1,35,48003,48071
1,51,48003,48103
1,55,48003,48111
1,121,48003,48243
1,175,48003,48357
1,207,48003,48421
1,243,48003,48493
1,247,48003,48501
2,3,48005,48007
2,36,48005,48073
2,61,48005,48123
2,62,48005,48125
2,70,48005,48141
2,80,48005,48161
2,88,48005,48177
2,89,48005,48179
2,103,48005,48207
2,108,48005,48217
2,109,48005,48219
2,112,48005,48225
2,134,48005,48273
2,143,48005,48291
2,144,48005,48293
2,151,48005,48309
2,170,48005,48347
2,171,48005,48349
2,173,48005,48353
2,178,48005,48363
2,183,48005,48373
2,211,48005,48429
2,219,48005,48445
2,228,48005,48463
2,229,48005,48465
2,237,48005,48481
2,240,48005,48487
3,6,48007,48013
3,8,48007,48017
3,13,48007,48027
3,14,48007,48029
3,18,48007,48037
3,25,48007,48051
3,27,48007,48055
3,28,48007,48057
3,36,48007,48073
3,44,48007,48089
3,46,48007,48093
3,48,48007,48097
3,49,48007,48099
3,56,48007,48113
3,58,48007,48117
3,61,48007,48123
3,66,48007,48133
3,67,48007,48135
3,80,48007,48161
3,89,48007,48179
3,90,48007,48181
3,92,48007,48185
3,101,48007,48203
3,106,48007,48213
3,108,48007,48217
3,109,48007,48219
3,112,48007,48225
3,113,48007,48227
3,115,48007,48231
3,119,48007,48239
3,141,48007,48287
3,143,48007,48291
3,151,48007,48309
3,159,48007,48325
3,162,48007,48331
3,170,48007,48347
3,171,48007,48349
3,173,48007,48353
3,174,48007,48355
3,178,48007,48363
3,179,48007,48365
3,183,48007,48373
3,194,48007,48395
3,197,48007,48401
3,201,48007,48409
3,202,48007,48411
3,211,48007,48429
3,217,48007,48441
3,225,48007,48457
3,231,48007,48469
3,235,48007,48477
3,237,48007,48481
3,239,48007,48485
4,99,48009,48199
5,15,48011,48031
5,32,48011,48065
5,60,48011,48121
5,110,48011,48221
5,180,48011,48367
5,187,48011,48381
5,242,48011,48491
6,8,48013,48017
6,14,48013,48029
6,27,48013,48055
6,28,48013,48057
6,31,48013,48063
6,34,48013,48069
6,36,48013,48073
6,43,48013,48087
6,44,48013,48089
6,46,48013,48093
6,56,48013,48113
6,58,48013,48117
6,61,48013,48123
6,62,48013,48125
6,66,48013,48133
6,67,48013,48135
6,70,48013,48141
6,76,48013,48153
6,80,48013,48161
6,89,48013,48179
6,94,48013,48189
6,101,48013,48203
6,106,48013,48213
6,107,48013,48215
6,108,48013,48217
6,109,48013,48219
6,113,48013,48227
6,119,48013,48239
6,122,48013,48245
6,124,48013,48249
6,137,48013,48279
6,143,48013,48291
6,151,48013,48309
6,157,48013,48321
6,168,48013,48343
6,170,48013,48347
6,173,48013,48353
6,174,48013,48355
6,178,48013,48363
6,179,48013,48365
6,181,48013,48369
6,194,48013,48395
6,197,48013,48401
6,201,48013,48409
6,202,48013,48411
6,204,48013,48415
6,211,48013,48429
6,221,48013,48449
6,224,48013,48455
6,231,48013,48469
6,236,48013,48479
6,237,48013,48481
7,25,48015,48051
7,35,48015,48071
7,48,48015,48097
7,55,48015,48111
7,74,48015,48149
7,83,48015,48167
7,100,48015,48201
7,119,48015,48239
7,128,48015,48257
7,147,48015,48299
7,161,48015,48329
7,207,48015,48421
7,216,48015,48439
7,245,48015,48497
8,13,48017,48027
8,14,48017,48029
8,17,48017,48035
8,28,48017,48057
8,31,48017,48063
8,34,48017,48069
8,40,48017,48081
8,43,48017,48087
8,44,48017,48089
8,46,48017,48093
8,48,48017,48097
8,52,48017,48105
8,58,48017,48117
8,61,48017,48123
8,67,48017,48135
8,70,48017,48141
8,76,48017,48153
8,80,48017,48161
8,88,48017,48177
8,89,48017,48179
8,94,48017,48189
8,98,48017,48197
8,101,48017,48203
8,105,48017,48211
8,106,48017,48213
8,108,48017,48217
8,109,48017,48219
8,119,48017,48239
8,137,48017,48279
8,141,48017,48287
8,149,48017,48305
8,151,48017,48309
8,159,48017,48325
8,162,48017,48331
8,163,48017,48333
8,168,48017,48343
8,173,48017,48353
8,174,48017,48355
8,178,48017,48363
8,179,48017,48365
8,181,48017,48369
8,194,48017,48395
8,197,48017,48401
8,201,48017,48409
8,202,48017,48411
