ID,FIPS,State,County,Full
0,48001,TX,Anderson County,"Anderson County, TX"
1,48003,TX,Andrews County,"Andrews County, TX"
2,48005,TX,Angelina County,"Angelina County, TX"
3,48007,TX,Aransas County,"Aransas County, TX"
4,48009,TX,Archer County,"Archer County, TX"
5,48011,TX,Armstrong County,"Armstrong County, TX"
6,48013,TX,Atascosa County,"Atascosa County, TX"
7,48015,TX,Austin County,"Austin County, TX"
8,48017,TX,Bailey County,"Bailey County, TX"
9,48019,TX,Bandera County,"Bandera County, TX"
10,48021,TX,Bastrop County,"Bastrop County, TX"
11,48023,TX,Baylor County,"Baylor County, TX"
12,48025,TX,Bee County,"Bee County, TX"
13,48027,TX,Bell County,"Bell County, TX"
14,48029,TX,Bexar County,"Bexar County, TX"
15,48031,TX,Blanco County,"Blanco County, TX"
16,48033,TX,Borden County,"Borden County, TX"
17,48035,TX,Bosque County,"Bosque County, TX"
18,48037,TX,Bowie County,"Bowie County, TX"
19,48039,TX,Brazoria County,"Brazoria County, TX"
20,48041,TX,Brazos County,"Brazos County, TX"
21,48043,TX,Brewster County,"Brewster County, TX"
22,48045,TX,Briscoe County,"Briscoe County, TX"
23,48047,TX,Brooks County,"Brooks County, TX"
24,48049,TX,Brown County,"Brown County, TX"
25,48051,TX,Burleson County,"Burleson County, TX"
26,48053,TX,Burnet County,"Burnet County, TX"
27,48055,TX,Caldwell County,"Caldwell County, TX"
28,48057,TX,Calhoun County,"Calhoun County, TX"
29,48059,TX,Callahan County,"Callahan County, TX"
30,48061,TX,Cameron County,"Cameron County, TX"
31,48063,TX,Camp County,"Camp County, TX"
32,48065,TX,Carson County,"Carson County, TX"
33,48067,TX,Cass County,"Cass County, TX"
34,48069,TX,Castro County,"Castro County, TX"
35,48071,TX,Chambers County,"Chambers County, TX"
36,48073,TX,Cherokee County,"Cherokee County, TX"
37,48075,TX,Childress County,"Childress County, TX"
38,48077,TX,Clay County,"Clay County, TX"
39,48079,TX,Cochran County,"Cochran County, TX"
40,48081,TX,Coke County,"Coke County, TX"
41,48083,TX,Coleman County,"Coleman County, TX"
42,48085,TX,Collin County,"Collin County, TX"
43,48087,TX,Collingsworth County,"Collingsworth County, TX"
44,48089,TX,Colorado County,"Colorado County, TX"
45,48091,TX,Comal County,"Comal County, TX"
46,48093,TX,Comanche County,"Comanche County, TX"
47,48095,TX,Concho County,"Concho County, TX"
48,48097,TX,Cooke County,"Cooke County, TX"
49,48099,TX,Coryell County,"Coryell County, TX"
50,48101,TX,Cottle County,"Cottle County, TX"
51,48103,TX,Crane County,"Crane County, TX"
52,48105,TX,Crockett County,"Crockett County, TX"
53,48107,TX,Crosby County,"Crosby County, TX"
54,48109,TX,Culberson County,"Culberson County, TX"
55,48111,TX,Dallam County,"Dallam County, TX"
56,48113,TX,Dallas County,"Dallas County, TX"
57,48115,TX,Dawson County,"Dawson County, TX"
58,48117,TX,Deaf Smith County,"Deaf Smith County, TX"
59,48119,TX,Delta County,"Delta County, TX"
60,48121,TX,Denton County,"Denton County, TX"
61,48123,TX,DeWitt County,"DeWitt County, TX"
62,48125,TX,Dickens County,"Dickens County, TX"
63,48127,TX,Dimmit County,"Dimmit County, TX"
64,48129,TX,Donley County,"Donley County, TX"
65,48131,TX,Duval County,"Duval County, TX"
66,48133,TX,Eastland County,"Eastland County, TX"
67,48135,TX,Ector County,"Ector County, TX"
68,48137,TX,Edwards County,"Edwards County, TX"
69,48139,TX,Ellis County,"Ellis County, TX"
70,48141,TX,El Paso County,"El Paso County, TX"
71,48143,TX,Erath County,"Erath County, TX"
72,48145,TX,Falls County,"Falls County, TX"
73,48147,TX,Fannin County,"Fannin County, TX"
74,48149,TX,Fayette County,"Fayette County, TX"
75,48151,TX,Fisher County,"Fisher County, TX"
76,48153,TX,Floyd County,"Floyd County, TX"
77,48155,TX,Foard County,"Foard County, TX"
78,48157,TX,Fort Bend County,"Fort Bend County, TX"
79,48159,TX,Franklin County,"Franklin County, TX"
80,48161,TX,Freestone County,"Freestone County, TX"
81,48163,TX,Frio County,"Frio County, TX"
82,48165,TX,Gaines County,"Gaines County, TX"
83,48167,TX,Galveston County,"Galveston County, TX"
84,48169,TX,Garza County,"Garza County, TX"
85,48171,TX,Gillespie County,"Gillespie County, TX"
86,48173,TX,Glasscock County,"Glasscock County, TX"
87,48175,TX,Goliad County,"Goliad County, TX"
88,48177,TX,Gonzales County,"Gonzales County, TX"
89,48179,TX,Gray County,"Gray County, TX"
90,48181,TX,Grayson County,"Grayson County, TX"
