HOSPI_Covid19,48001,48003,48005,48007,48009,48011,48013,48015,48017,48019,48021,48023,48025,48027,48029,48031,48033,48035,48037,48039,48041,48043,48045,48047,48049,48051,48053,48055,48057,48059,48061,48063,48065,48067,48069,48071,48073,48075,48077,48079,48081,48083,48085,48087,48089,48091,48093,48095,48097,48099,48101,48103,48105,48107,48109,48111,48113,48115,48117,48119,48121,48123,48125,48127,48129,48131,48133,48135,48137,48139,48141,48143,48145,48147,48149,48151,48153,48155,48157,48159,48161,48163,48165,48167,48169,48171,48173,48175,48177,48179,48181,48183,48185,48187,48189,48191,48193,48195,48197,48199,48201,48203,48205,48207,48209,48211,48213,48215,48217,48219,48221,48223,48225,48227,48229,48231,48233,48235,48237,48239,48241,48243,48245,48247,48249,48251,48253,48255,48257,48259,48263,48265,48267,48271,48273,48275,48277,48279,48281,48283,48285,48287,48289,48291,48293,48295,48297,48299,48303,48305,48307,48309,48311,48313,48315,48317,48319,48321,48323,48325,48327,48329,48331,48333,48335,48337,48339,48341,48343,48345,48347,48349,48351,48353,48355,48357,48359,48361,48363,48365,48367,48369,48371,48373,48375,48377,48379,48381,48383,48385,48387,48389,48391,48393,48395,48397,48399,48401,48403,48405,48407,48409,48411,48413,48415,48417,48419,48421,48423,48425,48427,48429,48431,48433,48435,48437,48439,48441,48443,48445,48447,48449,48451,48453,48455,48457,48459,48461,48463,48465,48467,48469,48471,48473,48475,48477,48479,48481,48483,48485,48487,48489,48491,48493,48495,48497,48499,48501,48503,48505,48507
ID,2523,2524,2525,2526,2527,2528,2529,2530,2531,2532,2533,2534,2535,2536,2537,2538,2539,2540,2541,2542,2543,2544,2545,2546,2547,2548,2549,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565,2566,2567,2568,2569,2570,2571,2572,2573,2574,2575,2576,2577,2578,2579,2580,2581,2582,2583,2584,2585,2586,2587,2588,2589,2590,2591,2592,2593,2594,2595,2596,2597,2598,2599,2600,2601,2602,2603,2604,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2620,2621,2622,2623,2624,2625,2626,2627,2628,2629,2630,2631,2632,2633,2634,2635,2636,2637,2638,2639,2640,2641,2642,2643,2644,2645,2646,2647,2648,2649,2650,2651,2652,2654,2655,2656,2658,2659,2660,2661,2662,2663,2664,2665,2666,2667,2668,2669,2670,2671,2672,2674,2675,2676,2677,2678,2679,2680,2681,2682,2683,2684,2685,2686,2687,2688,2689,2690,2691,2692,2693,2694,2695,2696,2697,2698,2699,2700,2701,2702,2703,2704,2705,2706,2707,2708,2709,2710,2711,2712,2713,2714,2715,2716,2717,2718,2719,2720,2721,2722,2723,2724,2725,2726,2727,2728,2729,2730,2731,2732,2733,2734,2735,2736,2737,2738,2739,2740,2741,2742,2743,2744,2745,2746,2747,2748,2749,2750,2751,2752,2753,2754,2755,2756,2757,2758,2759,2760,2761,2762,2763,2764,2765,2766,2767,2768,2769,2770,2771,2772,2773,2774,2775,2776
FIPS,48001,48003,48005,48007,48009,48011,48013,48015,48017,48019,48021,48023,48025,48027,48029,48031,48033,48035,48037,48039,48041,48043,48045,48047,48049,48051,48053,48055,48057,48059,48061,48063,48065,48067,48069,48071,48073,48075,48077,48079,48081,48083,48085,48087,48089,48091,48093,48095,48097,48099,48101,48103,48105,48107,48109,48111,48113,48115,48117,48119,48121,48123,48125,48127,48129,48131,48133,48135,48137,48139,48141,48143,48145,48147,48149,48151,48153,48155,48157,48159,48161,48163,48165,48167,48169,48171,48173,48175,48177,48179,48181,48183,48185,48187,48189,48191,48193,48195,48197,48199,48201,48203,48205,48207,48209,48211,48213,48215,48217,48219,48221,48223,48225,48227,48229,48231,48233,48235,48237,48239,48241,48243,48245,48247,48249,48251,48253,48255,48257,48259,48263,48265,48267,48271,48273,48275,48277,48279,48281,48283,48285,48287,48289,48291,48293,48295,48297,48299,48303,48305,48307,48309,48311,48313,48315,48317,48319,48321,48323,48325,48327,48329,48331,48333,48335,48337,48339,48341,48343,48345,48347,48349,48351,48353,48355,48357,48359,48361,48363,48365,48367,48369,48371,48373,48375,48377,48379,48381,48383,48385,48387,48389,48391,48393,48395,48397,48399,48401,48403,48405,48407,48409,48411,48413,48415,48417,48419,48421,48423,48425,48427,48429,48431,48433,48435,48437,48439,48441,48443,48445,48447,48449,48451,48453,48455,48457,48459,48461,48463,48465,48467,48469,48471,48473,48475,48477,48479,48481,48483,48485,48487,48489,48491,48493,48495,48497,48499,48501,48503,48505,48507
State,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX,TX
County,Anderson County,Andrews County,Angelina County,Aransas County,Archer County,Armstrong County,Atascosa County,Austin County,Bailey County,Bandera County,Bastrop County,Baylor County,Bee County,Bell County,Bexar County,Blanco County,Borden County,Bosque County,Bowie County,Brazoria County,Brazos County,Brewster County,Briscoe County,Brooks County,Brown County,Burleson County,Burnet County,Caldwell County,Calhoun County,Callahan County,Cameron County,Camp County,Carson County,Cass County,Castro County,Chambers County,Cherokee County,Childress County,Clay County,Cochran County,Coke County,Coleman County,Collin County,Collingsworth County,Colorado County,Comal County,Comanche County,Concho County,Cooke County,Coryell County,Cottle County,Crane County,Crockett County,Crosby County,Culberson County,Dallam County,Dallas County,Dawson County,Deaf Smith County,Delta County,Denton County,DeWitt County,Dickens County,Dimmit County,Donley County,Duval County,Eastland County,Ector County,Edwards County,Ellis County,El Paso County,Erath County,Falls County,Fannin County,Fayette County,Fisher County,Floyd County,Foard County,Fort Bend County,Franklin County,Freestone County,Frio County,Gaines County,Galveston County,Garza County,Gillespie County,Glasscock County,Goliad County,Gonzales County,Gray County,Grayson County,Gregg County,Grimes County,Guadalupe County,Hale County,Hall County,Hamilton County,Hansford County,Hardeman County,Hardin County,Harris County,Harrison County,Hartley County,Haskell County,Hays County,Hemphill County,Henderson County,Hidalgo County,Hill County,Hockley County,Hood County,Hopkins County,Houston County,Howard County,Hudspeth County,Hunt County,Hutchinson County,Irion County,Jack County,Jackson County,Jasper County,Jeff Davis County,Jefferson County,Jim Hogg County,Jim Wells County,Johnson County,Jones County,Karnes County,Kaufman County,Kendall County,Kent County,Kerr County,Kimble County,Kinney County,Kleberg County,Knox County,Lamar County,Lamb County,Lampasas County,La Salle County,Lavaca County,Lee County,Leon County,Liberty County,Limestone County,Lipscomb County,Live Oak County,Llano County,Lubbock County,Lynn County,McCulloch County,McLennan County,McMullen County,Madison County,Marion County,Martin County,Mason County,Matagorda County,Maverick County,Medina County,Menard County,Midland County,Milam County,Mills County,Mitchell County,Montague County,Montgomery County,Moore County,Morris County,Motley County,Nacogdoches County,Navarro County,Newton County,Nolan County,Nueces County,Ochiltree County,Oldham County,Orange County,Palo Pinto County,Panola County,Parker County,Parmer County,Pecos County,Polk County,Potter County,Presidio County,Rains County,Randall County,Reagan County,Real County,Red River County,Reeves County,Refugio County,Roberts County,Robertson County,Rockwall County,Runnels County,Rusk County,Sabine County,San Augustine County,San Jacinto County,San Patricio County,San Saba County,Schleicher County,Scurry County,Shackelford County,Shelby County,Sherman County,Smith County,Somervell County,Starr County,Stephens County,Sterling County,Stonewall County,Sutton County,Swisher County,Tarrant County,Taylor County,Terrell County,Terry County,Throckmorton County,Titus County,Tom Green County,Travis County,Trinity County,Tyler County,Upshur County,Upton County,Uvalde County,Val Verde County,Van Zandt County,Victoria County,Walker County,Waller County,Ward County,Washington County,Webb County,Wharton County,Wheeler County,Wichita County,Wilbarger County,Willacy County,Williamson County,Wilson County,Winkler County,Wise County,Wood County,Yoakum County,Young County,Zapata County,Zavala County
Full,"Anderson County, TX","Andrews County, TX","Angelina County, TX","Aransas County, TX","Archer County, TX","Armstrong County, TX","Atascosa County, TX","Austin County, TX","Bailey County, TX","Bandera County, TX","Bastrop County, TX","Baylor County, TX","Bee County, TX","Bell County, TX","Bexar County, TX","Blanco County, TX","Borden County, TX","Bosque County, TX","Bowie County, TX","Brazoria County, TX","Brazos County, TX","Brewster County, TX","Briscoe County, TX","Brooks County, TX","Brown County, TX","Burleson County, TX","Burnet County, TX","Caldwell County, TX","Calhoun County, TX","Callahan County, TX","Cameron County, TX","Camp County, TX","Carson County, TX","Cass County, TX","Castro County, TX","Chambers County, TX","Cherokee County, TX","Childress County, TX","Clay County, TX","Cochran County, TX","Coke County, TX","Coleman County, TX","Collin County, TX","Collingsworth County, TX","Colorado County, TX","Comal County, TX","Comanche County, TX","Concho County, TX","Cooke County, TX","Coryell County, TX","Cottle County, TX","Crane County, TX","Crockett County, TX","Crosby County, TX","Culberson County, TX","Dallam County, TX","Dallas County, TX","Dawson County, TX","Deaf Smith County, TX","Delta County, TX","Denton County, TX","DeWitt County, TX","Dickens County, TX","Dimmit County, TX","Donley County, TX","Duval County, TX","Eastland County, TX","Ector County, TX","Edwards County, TX","Ellis County, TX","El Paso County, TX","Erath County, TX","Falls County, TX","Fannin County, TX","Fayette County, TX","Fisher County, TX","Floyd County, TX","Foard County, TX","Fort Bend County, TX","Franklin County, TX","Freestone County, TX","Frio County, TX","Gaines County, TX","Galveston County, TX","Garza County, TX","Gillespie County, TX","Glasscock County, TX","Goliad County, TX","Gonzales County, TX","Gray County, TX","Grayson County, TX","Gregg County, TX","Grimes County, TX","Guadalupe County, TX","Hale County, TX","Hall County, TX","Hamilton County, TX","Hansford County, TX","Hardeman County, TX","Hardin County, TX","Harris County, TX","Harrison County, TX","Hartley County, TX","Haskell County, TX","Hays County, TX","Hemphill County, TX","Henderson County, TX","Hidalgo County, TX","Hill County, TX","Hockley County, TX","Hood County, TX","Hopkins County, TX","Houston County, TX","Howard County, TX","Hudspeth County, TX","Hunt County, TX","Hutchinson County, TX","Irion County, TX","Jack County, TX","Jackson County, TX","Jasper County, TX","Jeff Davis County, TX","Jefferson County, TX","Jim Hogg County, TX","Jim Wells County, TX","Johnson County, TX","Jones County, TX","Karnes County, TX","Kaufman County, TX","Kendall County, TX","Kent County, TX","Kerr County, TX","Kimble County, TX","Kinney County, TX","Kleberg County, TX","Knox County, TX","Lamar County, TX","Lamb County, TX","Lampasas County, TX","La Salle County, TX","Lavaca County, TX","Lee County, TX","Leon County, TX","Liberty County, TX","Limestone County, TX","Lipscomb County, TX","Live Oak County, TX","Llano County, TX","Lubbock County, TX","Lynn County, TX","McCulloch County, TX","McLennan County, TX","McMullen County, TX","Madison County, TX","Marion County, TX","Martin County, TX","Mason County, TX","Matagorda County, TX","Maverick County, TX","Medina County, TX","Menard County, TX","Midland County, TX","Milam County, TX","Mills County, TX","Mitchell County, TX","Montague County, TX","Montgomery County, TX","Moore County, TX","Morris County, TX","Motley County, TX","Nacogdoches County, TX","Navarro County, TX","Newton County, TX","Nolan County, TX","Nueces County, TX","Ochiltree County, TX","Oldham County, TX","Orange County, TX","Palo Pinto County, TX","Panola County, TX","Parker County, TX","Parmer County, TX","Pecos County, TX","Polk County, TX","Potter County, TX","Presidio County, TX","Rains County, TX","Randall County, TX","Reagan County, TX","Real County, TX","Red River County, TX","Reeves County, TX","Refugio County, TX","Roberts County, TX","Robertson County, TX","Rockwall County, TX","Runnels County, TX","Rusk County, TX","Sabine County, TX","San Augustine County, TX","San Jacinto County, TX","San Patricio County, TX","San Saba County, TX","Schleicher County, TX","Scurry County, TX","Shackelford County, TX","Shelby County, TX","Sherman County, TX","Smith County, TX","Somervell County, TX","Starr County, TX","Stephens County, TX","Sterling County, TX","Stonewall County, TX","Sutton County, TX","Swisher County, TX","Tarrant County, TX","Taylor County, TX","Terrell County, TX","Terry County, TX","Throckmorton County, TX","Titus County, TX","Tom Green County, TX","Travis County, TX","Trinity County, TX","Tyler County, TX","Upshur County, TX","Upton County, TX","Uvalde County, TX","Val Verde County, TX","Van Zandt County, TX","Victoria County, TX","Walker County, TX","Waller County, TX","Ward County, TX","Washington County, TX","Webb County, TX","Wharton County, TX","Wheeler County, TX","Wichita County, TX","Wilbarger County, TX","Willacy County, TX","Williamson County, TX","Wilson County, TX","Winkler County, TX","Wise County, TX","Wood County, TX","Yoakum County, TX","Young County, TX","Zapata County, TX","Zavala County, TX"
01/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
